id,filename,url,status,note
48,fu_0048.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0048.png,skip_exist,already in unused
49,fu_0049.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0049.png,skip_exist,already in used
50,fu_0050.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0050.png,skip_exist,already in unused
51,fu_0051.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0051.png,skip_exist,already in unused
52,fu_0052.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0052.png,skip_exist,already in unused
53,fu_0053.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0053.png,skip_exist,already in unused
54,fu_0054.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0054.png,skip_exist,already in unused
55,fu_0055.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0055.png,skip_exist,already in unused
56,fu_0056.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0056.png,skip_exist,already in unused
57,fu_0057.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0057.png,skip_exist,already in unused
58,fu_0058.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0058.png,skip_exist,already in used
59,fu_0059.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0059.png,skip_exist,already in unused
60,fu_0060.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0060.png,skip_exist,already in unused
61,fu_0061.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0061.png,skip_exist,already in unused
62,fu_0062.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0062.png,skip_exist,already in unused
63,fu_0063.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0063.png,skip_exist,already in unused
64,fu_0064.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0064.png,skip_exist,already in used
65,fu_0065.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0065.png,skip_exist,already in used
66,fu_0066.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0066.png,skip_exist,already in used
67,fu_0067.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0067.png,skip_exist,already in used
68,fu_0068.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0068.png,skip_exist,already in unused
69,fu_0069.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0069.png,skip_exist,already in unused
70,fu_0070.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0070.png,skip_exist,already in unused
71,fu_0071.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0071.png,skip_exist,already in used
72,fu_0072.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0072.png,skip_exist,already in unused
73,fu_0073.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0073.png,skip_exist,already in unused
74,fu_0074.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0074.png,skip_exist,already in used
75,fu_0075.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0075.png,skip_exist,already in used
76,fu_0076.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0076.png,skip_exist,already in used
77,fu_0077.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0077.png,skip_exist,already in used
78,fu_0078.png,https://game.mahjongsoul.com/v0.11.172.w/scene/Assets/Resource/amulet/fu_0078.png,skip_exist,already in unused
